date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:48:24	109193/109193	---MCZ	200	added ('OK')	text/html	etag:W/%2211f32f908cc9cf115f1ef579d12fc3c6%22	https://www.ise.io/	C:/My%20Web%20Sites/entrepreneurproject/www.ise.io/index.html	(from )
12:48:24	114/114	---M--	200	added ('OK')	text/plain	etag:%22c037d19bb683fa79e643d14325913cd1%22	https://www.ise.io/robots.txt		(from )
12:48:24	46175/46175	---M--	200	added ('OK')	image/png	etag:%225beb06f779eab39f7e65913a71c36d79%22	https://www.ise.io/assets/img/logo_white_square.png	C:/My%20Web%20Sites/entrepreneurproject/www.ise.io/assets/img/logo_white_square.png	(from https://www.ise.io/)
12:48:24	38644/38644	---M--	200	added ('OK')	font/woff2	etag:%222fed1725e4fba84fd3d0d701f577be18%22	https://www.ise.io/assets/fonts/HK%20Grotesk%20Pro/HKGroteskPro-Regular.woff2	C:/My%20Web%20Sites/entrepreneurproject/www.ise.io/assets/fonts/HK%20Grotesk%20Pro/HKGroteskPro-Regular.woff2	(from https://www.ise.io/)
12:48:25	39252/39252	---M--	200	added ('OK')	font/woff2	etag:%223e00014e1cb8fae7e568759d6112193f%22	https://www.ise.io/assets/fonts/HK%20Grotesk%20Pro/HKGroteskPro-Medium.woff2	C:/My%20Web%20Sites/entrepreneurproject/www.ise.io/assets/fonts/HK%20Grotesk%20Pro/HKGroteskPro-Medium.woff2	(from https://www.ise.io/)
12:48:25	12429/12429	---MCZ	200	added ('OK')	text/css	etag:W/%22e842ee84252e2b19cfa8ee470fd1b593%22	https://www.ise.io/assets/fonts/Feather/feather.css	C:/My%20Web%20Sites/entrepreneurproject/www.ise.io/assets/fonts/Feather/feather.css	(from https://www.ise.io/)
12:48:25	12795/12795	---MCZ	200	added ('OK')	text/css	etag:W/%22a2d42584292f64c5827e8b67b1b38726%22	https://www.ise.io/assets/libs/@fancyapps/fancybox/dist/jquery.fancybox.min.css	C:/My%20Web%20Sites/entrepreneurproject/www.ise.io/assets/libs/@fancyapps/fancybox/dist/jquery.fancybox.min.css	(from https://www.ise.io/)
12:48:25	28765/28765	---MCZ	200	added ('OK')	text/css	etag:W/%226bb5545318038a2cfb38a19581c581f9%22	https://www.ise.io/assets/libs/aos/dist/aos.css	C:/My%20Web%20Sites/entrepreneurproject/www.ise.io/assets/libs/aos/dist/aos.css	(from https://www.ise.io/)
12:48:26	59/59	---MCZ	302	error ('Found')	text/plain	date:Thu,%2031%20Aug%202023%2007:18:26%20GMT	https://unpkg.com/flickity@2/dist/flickity.min.css	C:/My%20Web%20Sites/entrepreneurproject/unpkg.com/flickity@2/dist/flickity.min.6.delayed	(from https://www.ise.io/)
12:48:26	1797/1797	---MCZ	200	added ('OK')	text/css	etag:%22705-iG4rBnn9uZ8eW5XLtZHjveGiMLs%22	https://unpkg.com/flickity@2.3.0/dist/flickity.min.css	C:/My%20Web%20Sites/entrepreneurproject/unpkg.com/flickity@2.3.0/dist/flickity.min.css	(from https://www.ise.io/)
